postac_a,postac_b,sila_relacji
CAPTAIN HOOK,SHIP CAPTAIN,5
PRINCIPAL PYNCHLEY,SHREK,5
NANNY DWARF,PIG #2,5
NANNY DWARF,PIG #1,5
FEMALE STUDENT #1,PUSS,5
CHEERLEADERS,DONKEY,5
CAPTAIN HOOK,WOLF,5
CHEERLEADERS,FEMALE STUDENT #1,5
GRITTED TEETH,SHREK,5
PRINCIPAL PYNCHLEY,STUDENTS,5
FIONA,GINGERBREAD MAN/PINOCCHIO,5
DRAGON,SLEEPING BEAUTY,5
DRAGON,SHREK,5
DRIVERS ED INSTRUCTOR,GUINEVERRE,5
ALL,SHREK,5
ANNOUNCER,DORIS,5
ANNOUNCER,DONKEY,5
ANNOUNCER,CYCLOPS,5
DRAGON,RUMPLESTILTSKIN,5
DRAGON,PUSS,5
DRAGON,PRINCESSES,5
FEMALE STUDENT #1,SHREK,5
NANNY DWARF,PIGS,5
CAPTAIN HOOK,PINOCCHIO,5
GRITTED TEETH,HALL MONITOR,5
QUEEN,SLEEPING BEAUTY,5
QUEEN,SHREK,5
CAPTAIN HOOK,DRAGON,5
EVIL QUEEN,SHIP CAPTAIN,5
DRIVERS ED INSTRUCTOR,TIFFANY,5
PIG #2,PIGS,5
LANCELOT,TEENAGER,5
LANCELOT,STUDENTS,5
DRIVERS ED INSTRUCTOR,GARY,5
DRIVERS ED INSTRUCTOR,FEMALE STUDENT #1,5
DRAGON,PRINCE CHARMING,5
DRAGON,PIGS,5
DRAGON,SNOW WHITE,5
FIONA,PIGS,5
FIONA,NANNY DWARF,5
GINGERBREAD MAN/PINOCCHIO,SNOW WHITE,5
GINGERBREAD MAN/PINOCCHIO,SLEEPING BEAUTY,5
GINGERBREAD MAN/PINOCCHIO,RAPUNZEL,5
GINGERBREAD MAN/PINOCCHIO,PRINCESSES,5
GINGERBREAD MAN,GINGERBREAD MAN/PINOCCHIO,5
GARY,XAVIER,5
GARY,VAN STUDENT,5
GARY,TIFFANY,5
GARY,SHREK,5
GARY,PUSS,5
GARY,GUINEVERRE,5
GINGERBREAD MAN/PINOCCHIO,PIGS,5
PUSS,XAVIER,5
GINGERBREAD MAN/PINOCCHIO,PIG #2,5
GINGERBREAD MAN/PINOCCHIO,PIG #1,5
GINGERBREAD MAN/PINOCCHIO,NANNY DWARF,5
BOHORT,PRINCIPAL PYNCHLEY,5
BOHORT,LANCELOT,5
PUSS,VAN STUDENT,5
EVIL KNIGHT #1,PUSS,5
EVIL KNIGHT #1,PINOCCHIO,5
PIGS,SNOW WHITE,5
PIGS,SLEEPING BEAUTY,5
JOCKS,PUSS,5
LANCELOT,PUSS,5
LANCELOT,PRINCIPAL PYNCHLEY,5
ANNOUNCER,ARTIE,5
DRIVERS ED INSTRUCTOR,XAVIER,5
DRIVERS ED INSTRUCTOR,VAN STUDENT,5
PIG #2,SLEEPING BEAUTY,5
PIG #2,RAPUNZEL,5
DRIVERS ED INSTRUCTOR,PUSS,5
PUSS,TIFFANY,5
PUSS,TEENAGER,5
BOHORT,STUDENTS,5
BOHORT,SHREK,5
EVIL KNIGHT #1,PIG #1,5
GINGERBREAD MAN,PIGS,5
BOHORT,GUINEVERRE,5
GINGERBREAD MAN,OGRE,5
GINGERBREAD MAN,NANNY DWARF,5
GINGERBREAD MAN,MUFFIN MAN,5
GINGERBREAD MAN,MABEL,5
PINOCCHIO,RUMPLESTILTSKIN,5
GINGERBREAD MAN,RUMPLESTILTSKIN,5
PINOCCHIO,RAPUNZEL,5
GINGERBREAD MAN,QUEEN,5
ALL,ARTIE,5
GINGERBREAD MAN,PRINCESSES,5
KNIGHT,TIFFANY,4
STUDENTS,XAVIER,4
STUDENTS,VAN STUDENT,4
PIGS,PRINCIPAL PYNCHLEY,4
PIGS,PUSS,4
EVIL DWARF #1,PUSS,4
PIRATES,PUSS,4
PIGS,RUMPLESTILTSKIN,4
JOCKS,PRINCIPAL PYNCHLEY,4
JOCKS,RAPUNZEL,4
KNIGHT,STUDENTS,4
ALL,FIONA,4
PIGS,SHREK,4
PIGS,STUDENTS,4
PIGS,TEENAGER,4
PIGS,TIFFANY,4
PINOCCHIO,TEACHER,4
PIGS,VAN STUDENT,4
EVIL KNIGHT #1,PRINCE CHARMING,4
GINGERBREAD MAN/PINOCCHIO,GUINEVERRE,4
GINGERBREAD MAN/PINOCCHIO,HALL MONITOR,4
GINGERBREAD MAN/PINOCCHIO,JOCKS,4
GINGERBREAD MAN/PINOCCHIO,KNIGHT,4
GINGERBREAD MAN/PINOCCHIO,LANCELOT,4
BODY,PINOCCHIO,4
BODY,PUSS,4
BOHORT,DRAGON,4
BOHORT,DRIVERS ED INSTRUCTOR,4
GINGERBREAD MAN,SHIP CAPTAIN,4
MUFFIN MAN,PIG #1,4
KNIGHT,MABEL,4
KNIGHT,MOTHER,4
KNIGHT,PRINCESSES,4
KNIGHT,PRINCIPAL PYNCHLEY,4
KNIGHT,RUMPLESTILTSKIN,4
BOHORT,MABEL,4
BOHORT,MOTHER,4
BOHORT,NANNY DWARF,4
BOHORT,OGRE,4
BOHORT,OGRE BABY,4
GINGERBREAD MAN,LANCELOT,4
GINGERBREAD MAN,MOTHER,4
GARY,SHIP CAPTAIN,4
GINGERBREAD MAN,STUDENTS,4
GINGERBREAD MAN,TEACHER,4
GINGERBREAD MAN,TEENAGER,4
GINGERBREAD MAN,TIFFANY,4
GINGERBREAD MAN,VAN STUDENT,4
GINGERBREAD MAN,OGRE BABY,4
BODY,SHREK,4
BOHORT,GRITTED TEETH,4
GINGERBREAD MAN/PINOCCHIO,OGRE,4
GINGERBREAD MAN/PINOCCHIO,OGRE BABY,4
GINGERBREAD MAN/PINOCCHIO,PRINCE CHARMING,4
BOHORT,FIONA,4
BOHORT,GARY,4
BOHORT,GINGERBREAD MAN,4
BOHORT,GINGERBREAD MAN/PINOCCHIO,4
PUSS,SHOUTING,4
PUSS,STUDENTS,4
BOHORT,CAPTAIN HOOK,4
BOHORT,CHEERLEADERS,4
BOHORT,CINDERELLA,4
BOHORT,COSTUME STUDENT 1,4
BOHORT,COSTUME STUDENT 2,4
BOHORT,CYCLOPS,4
BOHORT,DORIS,4
BOHORT,HALL MONITOR,4
BOHORT,JOCKS,4
BOHORT,KNIGHT,4
BOHORT,PIGS,4
BOHORT,PRINCE CHARMING,4
BOHORT,PRINCESSES,4
BOHORT,PUSS,4
BOHORT,EVIL QUEEN,4
BOHORT,EVIL TREES,4
BOHORT,FEMALE STUDENT #1,4
MUFFIN MAN,PIG #2,4
MUFFIN MAN,PINOCCHIO,4
MUFFIN MAN,PRINCE CHARMING,4
GINGERBREAD MAN,XAVIER,4
GINGERBREAD MAN/PINOCCHIO,GRITTED TEETH,4
GINGERBREAD MAN/PINOCCHIO,MOTHER,4
GINGERBREAD MAN/PINOCCHIO,SHIP CAPTAIN,4
GINGERBREAD MAN/PINOCCHIO,SHREK,4
GINGERBREAD MAN/PINOCCHIO,STUDENTS,4
GARY,PIGS,4
GINGERBREAD MAN,PRINCIPAL PYNCHLEY,4
GINGERBREAD MAN,GRITTED TEETH,4
GINGERBREAD MAN,GUINEVERRE,4
GINGERBREAD MAN,HALL MONITOR,4
GINGERBREAD MAN,JOCKS,4
GINGERBREAD MAN,KNIGHT,4
BOHORT,RAPUNZEL,4
BOHORT,RUMPLESTILTSKIN,4
BOHORT,SLEEPING BEAUTY,4
BOHORT,SNOW WHITE,4
BOHORT,TEENAGER,4
BOHORT,TIFFANY,4
GARY,TEENAGER,4
BOHORT,VAN STUDENT,4
BOHORT,XAVIER,4
BOHORT,PIG #1,4
BOHORT,PIG #2,4
BY A MONSTER TRYING TO RELATE TO,DONKEY,4
GARY,PIG #1,4
GARY,PIG #2,4
MOTHER,XAVIER,4
GINGERBREAD MAN/PINOCCHIO,PRINCIPAL PYNCHLEY,4
